section,id,N,objAUC,ptAUC,objAP,ptAP,norm
global,all,1312,0.6363459737827715,0.8075919020644536,0.6570661257308757,0.17994821556273902,global-minmax
cluster,0,29,0.8523809523809524,0.7355763717081133,0.8743073919544506,0.17419870710903082,mad
cluster,1,29,0.680952380952381,0.8774975886940505,0.6344204922184798,0.32190897830661763,mad
cluster,2,29,0.7476190476190476,0.8782055983510891,0.77521549682675,0.3629902035388622,mad
cluster,3,34,0.7228070175438597,0.8392513519797561,0.7900702542820108,0.228249492203705,mad
cluster,4,35,0.76,0.9080229381705287,0.81143313471181,0.3468375554281518,mad
cluster,5,33,0.8185185185185184,0.8181400450600289,0.8501723394345775,0.18333190891993484,mad
cluster,6,33,0.7999999999999999,0.8840684939297064,0.849746850103541,0.4541205010111435,mad
cluster,7,33,0.7814814814814814,0.9340882075960519,0.8560294320374966,0.5870755541237175,mad
cluster,8,33,0.5037037037037038,0.8083215793972759,0.5411086412786769,0.05287760361995354,mad
cluster,9,33,0.7481481481481481,0.9484399260387524,0.7963525982043872,0.3912792180499062,mad
cluster,10,34,0.7508771929824561,0.789795264643881,0.7964803559292304,0.30649603973404405,mad
cluster,11,36,0.5460317460317461,0.7120608428559742,0.6359944423107446,0.06175020716846708,mad
cluster,12,36,0.6825396825396824,0.8387151242167715,0.7746875188140117,0.3021470470312291,mad
cluster,13,33,0.7222222222222222,0.8338774830229013,0.8164218593524385,0.2556172113115618,mad
cluster,14,34,0.8491228070175438,0.9225851554823536,0.8694249613400911,0.5622035645996089,mad
cluster,15,35,0.6966666666666667,0.90588090424168,0.7543842998966082,0.364079308008312,mad
cluster,16,34,0.7929824561403508,0.8582118106450657,0.8513964265009155,0.391200180971137,mad
cluster,17,29,0.6047619047619047,0.7698942048878823,0.6798415323191537,0.07471414148257727,mad
cluster,18,29,0.6238095238095238,0.7150024611490804,0.6705806046501536,0.11280459499606364,mad
cluster,19,29,0.5952380952380952,0.7473029342982478,0.615993437779152,0.08548795164041399,mad
cluster,20,30,0.72,0.6785258063071257,0.775364768129474,0.08125894734243876,mad
cluster,21,29,0.6,0.6767029713538046,0.6048242718139888,0.03293121312322879,mad
cluster,22,38,0.6347826086956522,0.7975972300129218,0.7203017997000822,0.18134897581523304,mad
cluster,23,29,0.6761904761904762,0.7772496988846667,0.6664007561066384,0.05217235273726288,mad
cluster,24,38,0.7478260869565216,0.9046639997736929,0.8672047981325266,0.4092257882295534,mad
cluster,25,37,0.6424242424242423,0.7080054138465742,0.7356111321067332,0.04365335137004196,mad
cluster,26,21,0.7777777777777778,0.8446509236484475,0.880840455840456,0.15986175346391587,mad
cluster,27,29,0.6571428571428571,0.6750691061688155,0.6210042357877579,0.10803025875677746,mad
cluster,28,38,0.5304347826086957,0.6958169865002756,0.6397687015103517,0.0929620778352798,mad
cluster,29,37,0.6060606060606061,0.6762566557905264,0.7262094330428077,0.11105376600919523,mad
cluster,30,33,0.6370370370370371,0.7292179467913118,0.6892940710417,0.14418986860094643,mad
cluster,31,31,0.8875000000000001,0.9131633604526326,0.9238854895104895,0.4861713451313309,mad
cluster,32,29,0.580952380952381,0.7664224327250433,0.594663801806659,0.04322773699803686,mad
cluster,33,37,0.7678571428571429,0.8260676475760144,0.7480192987246924,0.12131998539615468,mad
cluster,34,37,0.6818181818181818,0.7812978110692991,0.7871220931093788,0.20181167187505317,mad
cluster,35,37,0.6545454545454545,0.7405488114387477,0.8066317545929844,0.19267430154302254,mad
cluster,36,29,0.5952380952380952,0.7756220594938635,0.547260176367965,0.05741255676981544,mad
cluster,37,29,0.6666666666666666,0.9375180502109983,0.6206858217257376,0.25362609813237874,mad
cluster,38,37,0.7181818181818181,0.9322485655451046,0.8292620338350822,0.4853938902236847,mad
cluster,39,37,0.6636363636363637,0.8732647286003317,0.776383959887796,0.24739197846825442,mad
cluster-macro,avg,,0.6931484031637064,0.8108712123139845,0.7451200230679496,0.22812719717690108,mad
category,0,29,0.8523809523809524,0.7355763717081133,0.8743073919544506,0.17419870710903082,mad
category,1,29,0.680952380952381,0.8774975886940505,0.6344204922184798,0.32190897830661763,mad
category,2,29,0.7476190476190476,0.8782055983510891,0.77521549682675,0.3629902035388622,mad
category,3,34,0.7228070175438597,0.8392513519797561,0.7900702542820108,0.228249492203705,mad
category,4,36,0.7555555555555555,0.9020501716019498,0.8117832448047733,0.33754365424409766,mad
category,5,33,0.8185185185185184,0.8181400450600289,0.8501723394345775,0.18333190891993484,mad
category,6,33,0.7999999999999999,0.8840684939297064,0.849746850103541,0.4541205010111435,mad
category,7,33,0.7814814814814814,0.9340882075960519,0.8560294320374966,0.5870755541237175,mad
category,8,33,0.5037037037037038,0.8083215793972759,0.5411086412786769,0.05287760361995354,mad
category,9,33,0.7481481481481481,0.9484399260387524,0.7963525982043872,0.3912792180499062,mad
category,10,34,0.7508771929824561,0.789795264643881,0.7964803559292304,0.30649603973404405,mad
category,11,36,0.5460317460317461,0.7120608428559742,0.6359944423107446,0.06175020716846708,mad
category,12,36,0.6825396825396824,0.8387151242167715,0.7746875188140117,0.3021470470312291,mad
category,13,33,0.7222222222222222,0.8338774830229013,0.8164218593524385,0.2556172113115618,mad
category,14,34,0.8491228070175438,0.9225851554823536,0.8694249613400911,0.5622035645996089,mad
category,15,34,0.6912280701754386,0.9099002766768212,0.7464870174729856,0.37063621443393846,mad
category,16,34,0.7929824561403508,0.8582118106450657,0.8513964265009155,0.391200180971137,mad
category,17,29,0.6047619047619047,0.7698942048878823,0.6798415323191537,0.07471414148257727,mad
category,18,29,0.6238095238095238,0.7150024611490804,0.6705806046501536,0.11280459499606364,mad
category,19,29,0.5952380952380952,0.7473029342982478,0.615993437779152,0.08548795164041399,mad
category,20,30,0.72,0.6785258063071257,0.775364768129474,0.08125894734243876,mad
category,21,29,0.6,0.6767029713538046,0.6048242718139888,0.03293121312322879,mad
category,22,38,0.6347826086956522,0.7975972300129218,0.7203017997000822,0.18134897581523304,mad
category,23,29,0.6761904761904762,0.7772496988846667,0.6664007561066384,0.05217235273726288,mad
category,24,38,0.7478260869565216,0.9046639997736929,0.8672047981325266,0.4092257882295534,mad
category,25,37,0.6424242424242423,0.7080054138465742,0.7356111321067332,0.04365335137004196,mad
category,26,29,0.7666666666666667,0.8363935760938466,0.8533431574810884,0.16112758845059122,mad
category,27,29,0.6571428571428571,0.6750691061688155,0.6210042357877579,0.10803025875677746,mad
category,28,38,0.5304347826086957,0.6958169865002756,0.6397687015103517,0.0929620778352798,mad
category,29,37,0.6060606060606061,0.6762566557905264,0.7262094330428077,0.11105376600919523,mad
category,30,33,0.6370370370370371,0.7292179467913118,0.6892940710417,0.14418986860094643,mad
category,31,31,0.8875000000000001,0.9131633604526326,0.9238854895104895,0.4861713451313309,mad
category,32,29,0.580952380952381,0.7664224327250433,0.594663801806659,0.04322773699803686,mad
category,33,29,0.6952380952380952,0.8280247962451821,0.6782849914061093,0.10286013769109545,mad
category,34,37,0.6818181818181818,0.7812978110692991,0.7871220931093788,0.20181167187505317,mad
category,35,37,0.6545454545454545,0.7405488114387477,0.8066317545929844,0.19267430154302254,mad
category,36,29,0.5952380952380952,0.7756220594938635,0.547260176367965,0.05741255676981544,mad
category,37,29,0.6666666666666666,0.9375180502109983,0.6206858217257376,0.25362609813237874,mad
category,38,37,0.7181818181818181,0.9322485655451046,0.8292620338350822,0.4853938902236847,mad
category,39,37,0.6636363636363637,0.8732647286003317,0.776383959887796,0.24739197846825442,mad
category-macro,avg,,0.6908080731720606,0.8106648724885129,0.7425005536177343,0.2276289219899808,mad
